"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.602","2.69063029306611","BLCA",1
"2","0.5","0.958","3.117146643119","BRCA_1",2
"3","0.5","0.337","2.71983659506912","BRCA_2",3
"4","0.5","0.754","2.42012958805177","COAD_READ",4
"5","0.5","0.239","2.01800389820893","HNSC",5
"6","0.5","0.766","2.51548344484563","KICH",6
"7","0.5","0.446","2.251775061899","KIRC",7
"8","0.5","0.323","2.26320209750873","KIRP",8
"9","0.5","0.551","1.53451317758607","LIHC",9
"10","0.5","0.92","2.61292095808416","LUAD",10
"11","0.5","0.916","2.65541306100685","LUSC",11
"12","0.5","0.882","2.84159701666886","PRAD",12
"13","0.5","0.791","2.52370830251635","STES",13
"14","0.5","0.824","2.55942349584622","THCA",14
"15","0.5","0.9","2.24989756724812","UCEC",15
